year,basel,minamata,nagoya,ozone_montreal,paris,UNCLOS,UNECE,africa,antart,Cartagena Protocol on Biosafety,Convention on Biological Diversity (CBD),Cites Convention on International Trade in Endangered Species of Wild Fauna nad Flora,Convention on the Conservation of Migratory Species of Wild Animals,World Heritage Convention,Kyoto Protocol,Vienna Convention (Ozone),Ramsar Convention,Rotterdam Convention,Stockholm Convention on Persistent Organic Pollutants,UN Convention to Combat Desertification (UNCCD),UN Convention on the Law of the Sea (UNCLOS),UN Framework Convention on Climate Change (UNFCCC),max_parties_OWD,perc_max_parties_OWD,max_parties_all,perc_max_parties_all
1947,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8.737864078
1955,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13.59223301
1960,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14.0776699
1964,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14.5631068
1971,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,14.5631068
1972,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15.04854369
1973,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4854368932038835,33,16.01941748
1974,0,0,0,0,0,0,33,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,10,4.854368932038835,33,16.01941748
1975,0,0,0,0,0,0,33,0,0,0,0,21,0,20,0,0,7,0,0,0,0,0,21,10.194174757281553,33,16.01941748
1976,0,0,0,0,0,0,33,0,0,0,0,32,0,26,0,0,13,0,0,0,0,0,32,15.533980582524272,33,16.01941748
1977,0,0,0,0,0,0,33,0,0,0,0,41,0,34,0,0,17,0,0,0,0,0,41,19.902912621359224,41,19.90291262
1978,0,0,0,0,0,0,33,0,0,0,0,49,0,42,0,0,20,0,0,0,0,0,49,23.78640776699029,49,23.78640777
1979,0,0,0,0,0,0,33,0,0,0,0,57,0,48,0,0,21,0,0,0,0,0,57,27.66990291262136,57,27.66990291
1980,0,0,0,0,0,0,33,0,0,0,0,63,0,55,0,0,24,0,0,0,0,0,63,30.58252427184466,63,30.58252427
1981,0,0,0,0,0,0,33,0,0,0,0,73,0,60,0,0,28,0,0,0,0,0,73,35.43689320388349,73,35.4368932
1982,0,0,0,0,0,0,33,0,0,0,0,77,0,69,0,0,30,0,0,0,1,0,77,37.37864077669903,77,37.37864078
1983,0,0,0,0,0,0,33,0,0,0,0,82,15,77,0,0,32,0,0,0,9,0,82,39.80582524271845,82,39.80582524
1984,0,0,0,0,0,0,33,0,0,0,0,85,16,82,0,0,34,0,0,0,14,0,85,41.262135922330096,85,41.26213592
1985,0,0,0,0,0,0,33,0,0,0,0,89,19,87,0,0,36,0,0,0,25,0,89,43.20388349514563,89,43.2038835
1986,0,0,0,0,0,0,33,0,0,0,0,93,21,90,0,0,39,0,0,0,31,0,93,45.14563106796116,93,45.14563107
1987,0,0,0,27,0,0,33,0,0,0,0,94,25,98,0,0,43,0,0,0,34,0,98,47.57281553398058,98,47.57281553
1988,0,0,0,47,0,0,33,0,0,0,0,96,27,105,0,29,48,0,0,0,36,0,105,50.970873786407765,105,50.97087379
1989,42,0,0,61,0,0,33,0,0,0,0,104,29,108,0,52,50,0,0,0,41,0,108,52.42718446601942,108,52.42718447
1990,53,0,0,72,0,0,34,0,0,0,0,109,35,113,0,65,58,0,0,0,44,0,113,54.85436893203884,113,54.85436893
1991,54,0,0,78,0,0,38,0,0,0,0,112,38,121,0,74,67,0,0,0,50,0,121,58.737864077669904,121,58.73786408
1992,64,0,0,99,0,0,42,0,0,0,6,117,39,130,0,98,75,0,0,0,52,9,130,63.10679611650485,130,63.10679612
1993,78,0,0,132,0,0,52,0,0,0,43,120,42,136,0,130,84,0,0,0,59,50,136,66.01941747572816,136,66.01941748
1994,90,0,0,146,0,0,54,0,0,0,107,128,44,139,0,145,87,0,0,0,69,115,145,70.38834951,146,70.87378641
1995,104,0,0,150,0,0,54,0,0,0,136,130,47,145,0,150,93,0,0,19,82,150,150,72.81553398058253,150,72.81553398
1996,113,0,0,160,0,0,54,0,0,0,164,134,49,146,0,160,96,0,0,57,109,164,164,79.61165049,164,79.61165049
1997,121,0,0,162,0,0,54,0,0,0,171,143,52,151,0,162,105,0,0,116,122,169,171,83.00970873786407,171,83.00970874
1998,126,0,0,167,0,0,54,0,28,0,173,145,55,155,5,167,114,0,0,145,128,175,175,84.95145631067962,175,84.95145631
1999,137,0,0,171,0,0,54,0,28,0,175,147,65,157,21,171,118,2,0,160,130,179,179,86.89320388349515,179,86.89320388
2000,145,0,0,174,0,0,55,0,28,0,179,152,70,161,31,174,123,12,0,172,133,184,184,89.32038834951456,184,89.32038835
2001,152,0,0,183,0,0,55,0,29,0,181,156,78,167,46,182,129,17,2,177,136,185,185,89.80582524271844,185,89.80582524
2002,156,0,0,184,0,0,55,0,29,0,186,160,80,175,101,183,133,37,24,186,140,187,187,90.77669902912622,187,90.77669903
2003,161,0,0,186,0,0,55,16,31,63,186,164,84,177,120,185,138,54,42,191,144,187,191,92.71844660194175,191,92.7184466
2004,166,0,0,188,0,0,55,30,32,109,187,166,88,178,133,187,141,80,89,191,146,188,191,92.71844660194175,191,92.7184466
2005,169,0,0,189,0,0,55,33,32,125,187,169,95,181,157,188,147,101,115,191,148,188,191,92.71844660194175,191,92.7184466
2006,172,0,0,191,0,0,56,34,32,135,188,169,100,184,169,190,154,112,136,191,151,188,191,92.71844660194175,191,92.7184466
2007,173,0,0,191,0,0,56,34,32,142,189,172,104,185,177,190,156,120,152,193,154,191,193,93.68932038834951,193,93.68932039
2008,175,0,0,193,0,0,56,36,33,150,190,174,110,185,184,192,158,127,162,193,156,191,193,93.68932038834951,193,93.68932039
2009,175,0,0,196,0,0,56,36,34,158,192,175,112,186,190,195,159,131,168,193,159,193,195,94.66019417475728,196,95.14563107
2010,178,0,0,196,0,0,56,37,34,160,193,175,114,187,192,196,160,140,172,193,161,194,196,95.14563106796116,196,95.14563107
2011,181,0,72,196,0,0,56,37,34,162,193,175,116,189,192,196,160,146,172,193,162,195,196,95.14563106796116,196,95.14563107
2012,182,0,96,197,0,0,56,40,35,164,193,177,117,190,192,197,163,150,172,194,164,195,197,95.63106796116504,197,95.63106796
2013,183,85,100,197,0,0,56,41,35,166,193,179,119,190,193,197,168,154,172,194,166,195,197,95.63106796116504,197,95.63106796
2014,183,119,113,197,0,0,56,42,37,168,194,180,120,191,193,197,168,154,172,195,166,196,197,95.63106796116504,197,95.63106796
2015,185,119,121,197,0,0,56,42,37,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,197,95.63106796
2016,187,119,128,197,194,0,56,42,38,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,197,95.63106796
2017,188,119,133,197,197,0,56,42,39,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,197,95.63106796
2018,189,119,141,197,197,0,56,44,39,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,197,95.63106796
2019,189,119,146,198,197,0,56,44,39,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
2020,190,119,151,198,197,0,56,44,40,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
2021,191,119,153,198,197,0,56,44,41,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
2022,192,119,155,198,198,0,56,44,41,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
2023,193,119,156,198,198,84,56,45,41,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
2024,193,119,156,198,198,89,56,45,41,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504,198,96.11650485
