country,acronym,population,production-based_PDF,PDF_footprint,net_importer,percapite_production_based_PDF,percapita_PDF_footprint,percapita_net_trade,Indicator_Name,Indicator_Code,GNI_PPP,GNI_percapita_PPP,Adj_netNationalIncome,Adj_netNationalIncome_percapita,GINI
Australia,AUS,25340217,0.0039953183,5.19546e-4,-0.0034757723,1.5750841e-10,2.048218e-11,-1.3702622e-10,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,1271445657756.0342,50175.01064635848,1073529444765.3,42364.65081436754,NA
New Zealand,NZL,4979200,7.180692e-4,2.881964e-4,-4.298728e-4,1.4421088e-10,5.78789e-11,-8.633197e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,222660796732.7147,44718.18700448158,176261032538.713,35399.46829585335,NA
Colombia,COL,50187406,0.0037648201,0.0017195578,-0.0020452623,7.478867e-11,3.415925e-11,-4.062941e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,779204426067.9811,15525.895601537586,266333067982.397,5306.770945332321,51.3
Gabon,GAB,2242785,1.577395e-4,7.738e-5,-8.03596e-5,7.260477e-11,3.561665e-11,-3.698811e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,31113608660.058865,13872.755819242087,9981301609.54359,4450.405014097914,NA
Belize,BLZ,389095,2.05252e-5,6.1437e-6,-1.43815e-5,5.258144e-11,1.573882e-11,-3.68426e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,3414261748.213863,8774.87952354531,1495857800.40758,3844.453926181472,NA
Uruguay,URY,3428409,1.24189e-4,4.20731e-5,-8.2116e-5,3.587483e-11,1.215376e-11,-2.372106e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,80046853333.35509,23348.105005369864,48921202008.0956,14269.359929954564,39.7
Panama,PAN,4232532,2.612053e-4,1.718734e-4,-8.93318e-5,6.151159e-11,4.047471e-11,-2.103687e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,135697476383.08192,32060.59077239863,56365300364.2504,13317.158704116211,49.8
Rep Congo,COG,5570733,1.540048e-4,4.28175e-5,-1.111872e-4,2.862274e-11,7.9579e-12,-2.066483e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,19087273561.963852,3426.3486621893117,3442036141.56006,617.8784984956307,NA
Jamaica,JAM,2813773,1.553803e-4,9.6468e-5,-5.89123e-5,5.270208e-11,3.272014e-11,-1.998194e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,29209840311.02515,10381.022318085059,14208783383.9141,5049.726251518548,NA
Costa Rica,CRI,5084532,2.310017e-4,1.33331e-4,-9.76707e-5,4.576501e-11,2.641493e-11,-1.935007e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,108118241210.7682,21264.148049568415,56768351249.9703,11164.911785385617,48.2
Kazakhstan,KAZ,18513673,6.377965e-4,2.821475e-4,-3.55649e-4,3.445003e-11,1.523995e-11,-1.921007e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,445033960361.9887,24038.123626899356,123343253798.892,6662.278943724024,NA
Argentina,ARG,44938712,0.0011600393,5.301119e-4,-6.299275e-4,2.581381e-11,1.179632e-11,-1.401747e-11,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,993329077050.9852,22104.084270394425,371323128176.697,8262.878744203817,42.9
