Entity,Code,Year,Cartagena Protocol on Biosafety,Convention on Biological Diversity (CBD),Cites Convention on International Trade in Endangered Species of Wild Fauna nad Flora,Convention on the Conservation of Migratory Species of Wild Animals,World Heritage Convention,Kyoto Protocol,Vienna Convention (Ozone),Ramsar Convention,Rotterdam Convention,Stockholm Convention on Persistent Organic Pollutants,UN Convention to Combat Desertification (UNCCD),UN Convention on the Law of the Sea (UNCLOS),UN Framework Convention on Climate Change (UNFCCC),max_parties_OWD,perc_max_parties_OWD
World,OWID_WRL,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,OWID_WRL,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,OWID_WRL,1973,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.4854368932038835
World,OWID_WRL,1974,0,0,6,0,10,0,0,0,0,0,0,0,0,10,4.854368932038835
World,OWID_WRL,1975,0,0,21,0,20,0,0,7,0,0,0,0,0,21,10.194174757281553
World,OWID_WRL,1976,0,0,32,0,26,0,0,13,0,0,0,0,0,32,15.533980582524272
World,OWID_WRL,1977,0,0,41,0,34,0,0,17,0,0,0,0,0,41,19.902912621359224
World,OWID_WRL,1978,0,0,49,0,42,0,0,20,0,0,0,0,0,49,23.78640776699029
World,OWID_WRL,1979,0,0,57,0,48,0,0,21,0,0,0,0,0,57,27.66990291262136
World,OWID_WRL,1980,0,0,63,0,55,0,0,24,0,0,0,0,0,63,30.58252427184466
World,OWID_WRL,1981,0,0,73,0,60,0,0,28,0,0,0,0,0,73,35.43689320388349
World,OWID_WRL,1982,0,0,77,0,69,0,0,30,0,0,0,1,0,77,37.37864077669903
World,OWID_WRL,1983,0,0,82,15,77,0,0,32,0,0,0,9,0,82,39.80582524271845
World,OWID_WRL,1984,0,0,85,16,82,0,0,34,0,0,0,14,0,85,41.262135922330096
World,OWID_WRL,1985,0,0,89,19,87,0,0,36,0,0,0,25,0,89,43.20388349514563
World,OWID_WRL,1986,0,0,93,21,90,0,0,39,0,0,0,31,0,93,45.14563106796116
World,OWID_WRL,1987,0,0,94,25,98,0,0,43,0,0,0,34,0,98,47.57281553398058
World,OWID_WRL,1988,0,0,96,27,105,0,29,48,0,0,0,36,0,105,50.970873786407765
World,OWID_WRL,1989,0,0,104,29,108,0,52,50,0,0,0,41,0,108,52.42718446601942
World,OWID_WRL,1990,0,0,109,35,113,0,65,58,0,0,0,44,0,113,54.85436893203884
World,OWID_WRL,1991,0,0,112,38,121,0,74,67,0,0,0,50,0,121,58.737864077669904
World,OWID_WRL,1992,0,6,117,39,130,0,98,75,0,0,0,52,9,130,63.10679611650485
World,OWID_WRL,1993,0,43,120,42,136,0,130,84,0,0,0,59,50,136,66.01941747572816
World,OWID_WRL,1994,0,107,128,44,139,0,145,87,0,0,0,69,115,145,70.3883495145631
World,OWID_WRL,1995,0,136,130,47,145,0,150,93,0,0,19,82,150,150,72.81553398058253
World,OWID_WRL,1996,0,164,134,49,146,0,160,96,0,0,57,109,164,164,79.6116504854369
World,OWID_WRL,1997,0,171,143,52,151,0,162,105,0,0,116,122,169,171,83.00970873786407
World,OWID_WRL,1998,0,173,145,55,155,5,167,114,0,0,145,128,175,175,84.95145631067962
World,OWID_WRL,1999,0,175,147,65,157,21,171,118,2,0,160,130,179,179,86.89320388349515
World,OWID_WRL,2000,0,179,152,70,161,31,174,123,12,0,172,133,184,184,89.32038834951456
World,OWID_WRL,2001,0,181,156,78,167,46,182,129,17,2,177,136,185,185,89.80582524271844
World,OWID_WRL,2002,0,186,160,80,175,101,183,133,37,24,186,140,187,187,90.77669902912622
World,OWID_WRL,2003,63,186,164,84,177,120,185,138,54,42,191,144,187,191,92.71844660194175
World,OWID_WRL,2004,109,187,166,88,178,133,187,141,80,89,191,146,188,191,92.71844660194175
World,OWID_WRL,2005,125,187,169,95,181,157,188,147,101,115,191,148,188,191,92.71844660194175
World,OWID_WRL,2006,135,188,169,100,184,169,190,154,112,136,191,151,188,191,92.71844660194175
World,OWID_WRL,2007,142,189,172,104,185,177,190,156,120,152,193,154,191,193,93.68932038834951
World,OWID_WRL,2008,150,190,174,110,185,184,192,158,127,162,193,156,191,193,93.68932038834951
World,OWID_WRL,2009,158,192,175,112,186,190,195,159,131,168,193,159,193,195,94.66019417475728
World,OWID_WRL,2010,160,193,175,114,187,192,196,160,140,172,193,161,194,196,95.14563106796116
World,OWID_WRL,2011,162,193,175,116,189,192,196,160,146,172,193,162,195,196,95.14563106796116
World,OWID_WRL,2012,164,193,177,117,190,192,197,163,150,172,194,164,195,197,95.63106796116504
World,OWID_WRL,2013,166,193,179,119,190,193,197,168,154,172,194,166,195,197,95.63106796116504
World,OWID_WRL,2014,168,194,180,120,191,193,197,168,154,172,195,166,196,197,95.63106796116504
World,OWID_WRL,2015,170,196,181,122,190,193,197,169,154,172,195,167,197,197,95.63106796116504
